,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
56,20003,23,25,26,30,34,03,07,"1,441,800,542",0,0,52,"333,491","284,089,915",2020-01-06
57,20002,03,07,18,25,30,02,07,"1,369,911,816",6,"9,908,421",152,"89,594","314,707,905",2020-01-04
58,20001,17,25,26,32,34,04,07,"1,387,021,575",2,"10,000,000",95,"145,642","290,178,486",2020-01-01
59,19150,07,11,12,16,33,05,07,"1,347,226,024",19,"6,819,667",115,"114,036","296,427,458",2019-12-30
60,19149,01,02,07,33,35,06,10,"1,422,864,762",0,0,85,"177,509","317,712,338",2019-12-28
61,19148,03,04,07,11,30,08,09,"1,357,789,884",5,"10,000,000",91,"119,722","289,764,338",2019-12-25
62,19147,09,12,19,22,33,07,08,"1,365,277,988",6,"9,568,706",101,"108,661","291,104,886",2019-12-23
63,19146,10,11,26,33,34,01,06,"1,381,880,355",15,"6,697,152",92,"159,122","314,007,833",2019-12-21
64,19145,05,09,19,22,32,03,05,"1,484,740,052",5,"10,000,000",188,"231,444","296,865,423",2019-12-18
65,19144,02,05,20,28,31,02,11,"1,542,864,127",5,"10,000,000",153,"220,193","293,207,584",2019-12-16
66,19143,04,22,23,24,32,06,12,"1,598,566,973",5,"10,000,000",94,"657,567","319,892,573",2019-12-14
67,19142,03,04,26,29,33,06,07,"1,627,275,281",3,"10,000,000",71,"705,678","299,921,169",2019-12-11
68,19141,02,10,20,21,35,01,12,"1,655,481,326",3,"10,000,000",135,"378,250","300,500,952",2019-12-09
69,19140,03,07,08,25,27,03,05,"1,668,432,904",7,"10,000,000",118,"334,833","316,440,627",2019-12-07
70,19139,01,05,07,08,11,06,10,"1,732,644,632",7,"10,000,000",178,"175,769","289,227,664",2019-12-04
71,19138,04,06,07,20,29,02,04,"1,807,797,396",2,"10,000,000",164,"319,280","292,541,823",2019-12-02
72,19137,03,05,12,13,26,07,12,"1,811,011,407",4,"10,000,000",185,"222,837","312,773,222",2019-11-30
73,19136,03,16,20,26,29,03,09,"1,836,618,363",9,"10,000,000",113,"364,978","286,999,222",2019-11-27
74,19135,04,05,19,25,26,01,11,"1,952,350,514",4,"10,000,000",87,"544,581","285,312,173",2019-11-25
75,19134,05,06,07,14,17,10,11,"1,982,686,527",4,"10,000,000",130,"414,036","315,940,098",2019-11-23
76,19133,03,12,24,27,34,01,12,"2,012,422,203",3,"10,000,000",89,"644,929","307,662,290",2019-11-20
77,19132,03,05,06,13,18,10,12,"2,031,322,367",5,"10,000,000",101,"519,792","302,574,925",2019-11-18
78,19131,05,06,14,27,29,06,10,"2,069,940,753",3,"10,000,000",105,"522,131","329,976,108",2019-11-16
79,19130,01,13,20,21,26,04,10,"2,080,589,741",3,"10,000,000",83,"556,878","303,550,489",2019-11-13
80,19129,10,13,18,23,30,06,12,"2,091,270,342",6,"10,000,000",167,"245,350","295,027,665",2019-11-11
81,19128,20,21,25,34,35,03,12,"2,137,001,005",2,"10,000,000",85,"699,443","322,813,843",2019-11-09
82,19127,04,07,08,11,16,09,11,"2,135,181,961",5,"10,000,000",110,"377,119","300,600,530",2019-11-06
83,19126,05,09,16,18,30,04,07,"2,177,652,384",10,"10,000,000",150,"205,967","276,082,640",2019-11-04
84,19125,05,08,09,14,34,02,05,"2,290,847,003",4,"10,000,000",75,"755,654","298,679,570",2019-11-02
85,19124,07,17,26,27,30,06,12,"2,320,815,917",2,"10,000,000",99,"413,450","275,959,410",2019-10-30
86,19123,03,13,15,26,30,05,12,"2,325,632,751",6,"10,000,000",100,"379,897","273,397,306",2019-10-28
87,19122,05,19,25,31,33,10,11,"2,388,431,797",1,"10,000,000",65,"800,691","289,532,078",2019-10-26
88,19121,01,02,03,07,17,04,10,"2,389,042,428",3,"10,000,000",73,"661,861","276,665,665",2019-10-23
89,19120,06,15,17,22,25,01,09,"2,417,531,958",4,"10,000,000",97,"417,655","275,763,665",2019-10-21
90,19119,03,06,09,23,34,02,11,"2,450,995,411",4,"10,000,000",83,"611,893","296,906,555",2019-10-19
91,19118,02,03,13,19,26,02,03,"2,505,219,109",2,"10,000,000",101,"406,469","272,734,633",2019-10-16
92,19117,01,18,21,25,35,07,08,"2,510,705,016",4,"10,000,000",66,"806,808","271,077,215",2019-10-14
93,19116,02,10,16,21,23,02,12,"2,540,591,129",4,"10,000,000",87,"770,679","297,819,968",2019-10-12
94,19115,01,18,21,28,32,05,12,"2,576,114,778",6,"10,000,000",105,"498,979","286,493,206",2019-10-09
95,19114,03,05,07,20,23,04,11,"2,618,860,320",3,"10,000,000",75,"710,140","293,032,964",2019-09-30
96,19113,03,11,27,34,35,01,02,"2,630,473,138",2,"10,000,000",96,"620,026","311,100,525",2019-09-28
97,19112,03,10,16,21,33,05,06,"2,636,508,289",13,"10,000,000",573,"44,488","280,910,162",2019-09-25
